praef.1	0	Vos	PRON	pronoun	Case=Nom|Number=Plur|Person=2	uos	ROOT	0
praef.1	1	etiam	ADV	adverb		etiam	advmod:emph	0
praef.1	2	,	PUNCT	punc		,	punct	7
praef.1	3	quos	PRON	pronoun	Case=Acc|Gender=Masc|Number=Plur	qui	obj	7
praef.1	4	nulla	DET	adjective	Case=Nom|Gender=Fem|Number=Sing	nullus	det	6
praef.1	5	mihi	PRON	pronoun	Case=Dat|Number=Sing|Person=1	ego	obl:arg	7
praef.1	6	cognatio	NOUN	noun	Case=Nom|Gender=Fem|Number=Sing	cognatio	nsubj	7
praef.1	7	iunxit	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Perf|VerbForm=Fin|Voice=Act	iungo	acl:relcl	0
praef.1	8	,	PUNCT	punc		,	punct	0
praef.2	0	set	CCONJ	conjunction		sed	cc	1
praef.2	1	fama	NOUN	noun	Case=Nom|Gender=Fem|Number=Sing	fama	ROOT	1
praef.2	2	et	CCONJ	conjunction		et	cc	4
praef.2	3	carae	ADJ	adjective	Case=Gen|Gender=Fem|Number=Sing	carus	amod	4
praef.2	4	relligio	NOUN	noun	Case=Abl|Gender=Neut|Number=Sing	relligio	conj	1
praef.2	5	patriae	NOUN	noun	Case=Gen|Gender=Fem|Number=Sing	patria	nmod	4
praef.2	6	,	PUNCT	punc		,	punct	1
praef.3	0	et	CCONJ	conjunction		et	cc	1
praef.3	1	studium	NOUN	noun	Case=Acc|Gender=Neut|Number=Sing	studium	nmod	6
praef.3	2	in	ADP	preposition		in	case	3
praef.3	3	libris	NOUN	noun	Case=Abl|Gender=Masc|Number=Plur	liber	nmod	1
praef.3	4	et	CCONJ	conjunction		et	cc	5
praef.3	5	sedula	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	sedulus	conj	3
praef.3	6	cura	NOUN	verb	Case=Abl|Gender=Fem|Number=Sing	curo	ROOT	6
praef.3	7	docendi	VERB	verb	Case=Gen|Gender=Neut|Mood=Ger|Number=Sing|Tense=Fut|VerbForm=Part|Voice=Pass	doceo	acl	6
praef.3	8	,	PUNCT	punc		,	punct	6
praef.4	0	commemorabo	VERB	verb	Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	commemoro	ROOT	0
praef.4	1	viros	NOUN	noun	Case=Acc|Gender=Masc|Number=Plur	uir	obj	0
praef.4	2	morte	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	mors	nmod	3
praef.4	3	obita	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	obeo	nmod	1
praef.4	4	celebres	ADJ	adjective	Case=Acc|Gender=Masc|Number=Plur	celeber	amod	3
praef.4	5	,	PUNCT	punc		,	punct	0
praef.5	0	fors	NOUN	noun	Case=Nom|Gender=Fem|Number=Sing	fors	ROOT	0
praef.5	1	erit	AUX	verb	Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin	sum	cop	0
praef.5	2	,	PUNCT	punc		,	punct	7
praef.5	3	ut	SCONJ	conjunction		ut	mark	7
praef.5	4	nostros	DET	adjective	Case=Acc|Gender=Masc|Number=Plur	noster	det	5
praef.5	5	manes	NOUN	verb	Case=Nom|Gender=Masc|Number=Sing	maneo	nsubj	7
praef.5	6	sic	ADV	adverb		sic	advmod	7
praef.5	7	adserat	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Pqp|VerbForm=Fin|Voice=Act	adsero	advcl	0
praef.5	8	olim	ADV	adverb		olim	advmod:tmod	7
praef.5	9	,	PUNCT	punc		,	punct	0
praef.6	0	exemplo	NOUN	noun	Case=Abl|Gender=Neut|Number=Sing	exemplum	obl	1
praef.6	1	cupiet	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	cupio	ROOT	1
praef.6	2	qui	PRON	pronoun	Case=Nom|Gender=Masc|Number=Sing	qui	nsubj	3
praef.6	3	pius	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	pius	csubj	1
praef.6	4	esse	AUX	verb	Tense=Pres|VerbForm=Inf	sum	cop	3
praef.6	5	meo	DET	pronoun	Case=Dat|Gender=Masc|Number=Sing	meus	obl:arg	3
praef.6	6	.	PUNCT	punc		.	punct	1
1.1	0	PRIMUS	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	primus	nmod	2
1.1	1	Burdigalae	PROPN	adjective	Case=Gen|Gender=Fem|Number=Sing	Burdigala	nmod	2
1.1	2	columen	NOUN	noun	Case=Acc|Gender=Neut|Number=Sing	columen	obj	3
1.1	3	dicere	VERB	verb	Tense=Pres|VerbForm=Inf|Voice=Act	dico	ROOT	3
1.1	4	,	PUNCT	punc		,	punct	5
1.1	5	Minervi	ADJ	noun	Case=Nom|Gender=Masc|Number=Plur	Minervi	dep	3
1.1	6	,	PUNCT	punc		,	punct	3
1.2	0	alter	DET	adjective	Case=Nom|Gender=Masc|Number=Sing	alter	nsubj	3
1.2	1	rhetoricae	ADJ	adjective	Case=Gen|Gender=Fem|Number=Sing	rhetoricus	amod	2
1.2	2	Quintiliane	ADJ	adjective	Case=Gen|Gender=Fem|Number=Sing	Quintiliane	amod	3
1.2	3	togae	NOUN	noun	Case=Gen|Gender=Fem|Number=Sing	toga	ROOT	3
1.2	4	.	PUNCT	punc		.	punct	3
1.3	0	inlustres	ADJ	adjective	Case=Nom|Gender=Masc|Number=Plur	inlustro	ROOT	0
1.3	1	quondam	ADJ	adjective		quondam	mark	3
1.3	2	quo	PRON	pronoun	Case=Abl|Gender=Masc|Number=Sing	qui	nsubj	3
1.3	3	praeceptore	NOUN	noun	Case=Abl|Gender=Masc|Number=Sing	praeceptor	conj	0
1.3	4	fuerunt	AUX	verb	Mood=Ind|Number=Plur|Person=3|Tense=Perf|VerbForm=Fin	sum	cop	3
1.4	0	Constantinopolis	PROPN	noun	Case=Abl|Gender=Fem|Number=Plur	Constantinopolis	ROOT	0
1.4	1	,	PUNCT	punc		,	punct	2
1.4	2	Roma	PROPN	proper_noun	Case=Abl|Gender=Fem|Number=Sing	Roma	conj	0
1.4	3	,	PUNCT	punc		,	punct	4
1.4	4	dehinc	ADV	adverb		dehinc	case	5
1.4	5	patria	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	patria	conj	0
1.4	6	,	PUNCT	punc		,	punct	0
1.5	0	non	PART	particle		non	advmod:neg	2
1.5	1	equidem	PART	adverb		equidem	discourse	2
1.5	2	certans	VERB	verb	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Act	certo	ROOT	2
1.5	3	cum	ADP	preposition		cum	case	4
1.5	4	maiestate	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	maiestas	obl	2
1.5	5	duarum	NUM	number	Case=Gen|Gender=Fem|Number=Plur	duo	nummod	4
1.5	6	,	PUNCT	punc		,	punct	2
1.6	0	solo	DET	adjective	Case=Abl|Gender=Neut|Number=Sing	solo	det	3
1.6	1	set	CCONJ	adverb		set	cop	2
1.6	2	potior	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	potior	ROOT	2
1.6	3	nomine	NOUN	noun	Case=Abl|Gender=Neut|Number=Sing	nomen	obl	2
1.6	4	,	PUNCT	punc		,	punct	6
1.6	5	quod	SCONJ	pronoun		qui	mark	6
1.6	6	patria	NOUN	noun	Case=Nom|Gender=Fem|Number=Sing	patria	advcl:cmp	2
1.6	7	:	PUNCT	punc		:	punct	2
1.7	0	adserat	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin|Voice=Act	adsero	ROOT	0
1.7	1	usque	ADV	adverb		usque	advmod	3
1.7	2	licet	SCONJ	verb		licet	fixed	1
1.7	3	Fabium	PROPN	noun	Case=Acc|Gender=Masc|Number=Sing	Fabius	obl	0
1.7	4	Calagurris	NOUN	noun	Case=Abl|Gender=Fem|Number=Plur	Calagurrum	dep	3
1.7	5	alumnum	NOUN	noun	Case=Nom|Gender=Neut|Number=Sing	alumnus	nmod	4
1.7	6	,	PUNCT	punc		,	punct	0
1.8	0	non	PART	particle		non	advmod:neg	2
1.8	1	sit	AUX	verb	Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	sum	cop	2
1.8	2	Burdigalae	PROPN	noun	Case=Gen|Gender=Fem|Number=Sing	Burdigala	ROOT	2
1.8	3	dum	SCONJ	conjunction		dum	mark	4
1.8	4	cathedra	NOUN	noun	Case=Nom|Gender=Fem|Number=Sing	cathedra	advcl	2
1.8	5	inferior	ADJ	adjective	Case=Nom|Gender=Fem|Number=Sing	inferior	amod	4
1.8	6	,	PUNCT	punc		,	punct	4
1.9	0	mille	NUM	number		mille	obl	2
1.9	1	foro	NOUN	noun	Case=Acc|Gender=Neut|Number=Sing	forum	obl:arg	2
1.9	2	dedit	VERB	verb	Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|Voice=Act	do	ROOT	2
1.9	3	hic	ADV	adverb		hic	advmod:lmod	2
